Номер акта;Дата акта;Работы произведены;Описание работ;Дата начала работ;Дата окончания работ;Подтверждающие документы;Печать;Файл;Оригинал;Страницы
№ГПЗ-TMT-РХИ-4.3.1.01.354-АКЗ-141;10.09.2021;;;;;"""Протокол контроля качества подготовки поверхности к окраске №3816-МП от 03.08.2021; №3816-2/П от 10.09.2021 @ """;;АОСР_KiladzeSV_013900.pdf;4.3.1.01.354-АКЗ-14_1.pdf;000001
;;;;;;;;АОСР_KiladzeSV_013901.pdf;4.3.1.01.354-АКЗ-14_1.pdf;000002
№ГПЗ-TMT-РХИ-4.3.1.01.354-АКЗ-142;12усентябрн2021;;;;;"""Протокол контроля качества нанесения. лакокрасочных материалов №3816-1/Г от 04.08.2021; №3816-2/Г от 11.09.2021 @ Протокол контроля качества нанесения лакокрасочных материалов №3816-1/Ф от 05.08.2021; №3816-2/® от 12.09.2021 @ """;;АОСР_KiladzeSV_013902.pdf;4.3.1.01.354-АКЗ-14_1.pdf;000004
;;;;;;;;АОСР_KiladzeSV_013903.pdf;4.3.1.01.354-АКЗ-14_1.pdf;000005
№ГПЗ-TMT-РХИ-4.2.1.05.301-КЗ-80/1;11.10.2021;;;;;"""Протокол контроля качества подготовки поверхности к окраске №3472-1/П от 11.10.2021 @ """;;АОСР_KiladzeSV_013908.pdf;4.2.1.05.301-АКЗ-80_1.pdf;000011
;;;;;;;;АОСР_KiladzeSV_013909.pdf;4.2.1.05.301-АКЗ-80_1.pdf;000012
№ГПЗ-TMT-РХИ-4.2.1.05.301-АКЗ-802;13.10.2021;;;;;"""Протокол контроля качества нанесения лакокрасочных материалов №3472-1/Г от 12.10.2021 @ Протокол контроля качества нанесения лакокрасочных материалов №3472-1/® от 13.10.2021 @ """;;АОСР_KiladzeSV_013911.pdf;4.2.1.05.301-АКЗ-80_1.pdf;000015
;;;;;;;;АОСР_KiladzeSV_013912.pdf;4.2.1.05.301-АКЗ-80_1.pdf;000016
№ГПЗ-TМТ-РХИ-4.1.1.28.602-АR-0-34-CR0301-ВОВС-001;28.04.2021;;;;;"""Монтажная схема № ГПЗ-4.1.1.28.602-АК-(0-34-СКОЗ01)-ТМТ-РХИ-ДВДОВС-001 от 28.04.2021 г. ` @ Акт визуально-измерительного контороля сварных соединений № 0862МК-212 от 28.04.2021 г. @ Акт визуально-измерительного контороля сварных соединений № 0862МК-213 от 28.04.2021 г. @ Акт визуально-измерительного контороля сварных соединений № 0862МК-214 от 28.04.2021 г. @ Акт визуально-измерительного контороля сварных соединений № 0862МК-215 от 28.04.2021 г. @ Акт визуально-измерительного контороля сварных соединений № 0862МК-216 от 28.04.2021 г. @ Акт визуально-измерительного контороля сварных соединений № 0862МК-217 от 28.04.2021 г. @ Акт визуально-измерительного контороля сварных соединений № 0862МК-218 от 28.04.2021 г. @ Акт визуально-измерительного контороля сварных соединений № 0862МК-219 от 28.04.2021 г. @ Акт визуально-измерительного контороля сварных соединений № 0862МК-220 от 28.04.2021 г. @ Акт визуально-измерительного контороля сварных соединений № 0862МК-221 от 28.04.2021 г. @ Акт визуально-измерительного контороля сварных соединений № 0862МК-222 от 28.04.2021 г. Заключение по контролю качества сварных соединений капиллярным методом №0862МК-244 от 28.04.2021 г. Заключение по контролю качества сварных соединений капиллярным методом №0862МК-245 от 28.04.2021 г. Заключение по контролю качества сварных соединений капиллярным методом №0862МК-246 от 28.04.2021 г. @ """;;АОСР_KiladzeSV_013915.pdf;4.1.1.28.602-AR-0-34-CR0301-ДВДОВС-001.pdf;000020
;;;;;;;;АОСР_KiladzeSV_013916.pdf;4.1.1.28.602-AR-0-34-CR0301-ДВДОВС-001.pdf;000021
№ГПЗ-ТMT-РХИ-4.1.1.28.415-ТИ-001;27.12.2020;;;;;н/п спот итертожи розльттизкоптрто отеки лборторнихи ин етот ыполизнных работ провезвняат родео протеин кто);;АОСР_KiladzeSV_013920.pdf;4.1.1.28.415-ТИ-001.pdf;000025
;;;;;;;;АОСР_KiladzeSV_013921.pdf;4.1.1.28.415-ТИ-001.pdf;000026
№ГПЗ-ТMT-РХИ-4.1.1.28.402-ТTИ-006.2;02.11.2021;;;;;"""осполительные схемы ичертеки, рулят сперто, обследований лаборатории ных птиланий выозненныях бот презент пропили @ """;;АОСР_KiladzeSV_013928.pdf;4.1.1.28.402-ТИ-006.2.pdf;000034
;;;;;;;;АОСР_KiladzeSV_013929.pdf;4.1.1.28.402-ТИ-006.2.pdf;000035
№ГПЗ-ТМТT-РХИ-4.1.1.28.387-АR-(0-33-CRО103-УC-001;08.02.2021;;;;;"""Монтажная схема № ГПЗ-ТМТ-РХИ-4. 1.1.28. 387-АК-(0-33-СКО103)-УСЦ-001 от 08.02.2021 г.; @ Запись в журнале авторского надзора за строительством № 14-ТКМ-4 @ учетный лист № 127-128 запись от 21.04.2020. @ """;;АОСР_KiladzeSV_013932.pdf;4.1.1.28.387-AR-(0-33-CR0103)-УСЦ-001.pdf;000038
;;;;;;;;АОСР_KiladzeSV_013933.pdf;4.1.1.28.387-AR-(0-33-CR0103)-УСЦ-001.pdf;000039
№ГПЗ-TMT-РХИ-4.1.1.28.387-АR-(0-33-CRО10З-ОПШ-001;04.03.2021;;;;;"""Монтажная схема № ГПЗ-ТМТ-РХИ-4. 1.1.28. 387-АК-(0-33-СКО103)-ОшПЦ-001 от 04.03.2021 г.; „ @ Протокол испытаний № 22. 02-ЩЦ-1-7сут/2021-Р от 01.03.2021 г.; „ @ Протокол испытаний № 25.02-ШЦ-1 -7сут/2021-Р от 04.03.2021 г.; @ Запись в журнале авторского надзора за строительством № 14-ТКМ-4 @ учетный лист № 127-128 запись от 21.04.2020 г. @ """;;АОСР_KiladzeSV_013935.pdf;4.1.1.28.387-AR-(0-33-CR0103)-УСЦ-001.pdf;000041
;;;;;;;;АОСР_KiladzeSV_013936.pdf;4.1.1.28.387-AR-(0-33-CR0103)-УСЦ-001.pdf;000042
№ГПЗ-TМТT-РХИ-4.1.1.28.387-АR-(0-33-CR0103)-УТШ-001;25.02.2021;;;;;"""Монтажная схема № ГИЗ-ТМТ-РХИ: 1.28.387-АВ-(0-33-СКО103)-УТШ-001 от 25.02.2021 г. @ """;;АОСР_KiladzeSV_013938.pdf;4.1.1.28.387-AR-(0-33-CR0103)-УСЦ-001.pdf;000044
;;;;;;;;АОСР_KiladzeSV_013939.pdf;4.1.1.28.387-AR-(0-33-CR0103)-УСЦ-001.pdf;000045
№ГПЗ-TMT-РХИ-4.1.1.28.387-АR-(0-33-CR010З)-ОКП-001;24.03.2021;;;;;"""Монтажная схема № ГИЗ-ТМТ-РХИ-4.1.1.28.387-АК-(0-33-СВО10З)-ОЦКП-001 от 24.03.2021 г.; @ Запись в журнале авторского надзора за строительством № 14-ТКМ-4 @ учетный лист Л 127-128 запись от 21.04.2020 =: @ Запись в журнале авторского надзора за строительством № 11-ТКМ-4 @ учетный лист № 47-49 запись от 28.01.2020 2. @ """;;АОСР_KiladzeSV_013941.pdf;4.1.1.28.387-AR-(0-33-CR0103)-УСЦ-001.pdf;000047
;;;;;;;;АОСР_KiladzeSV_013942.pdf;4.1.1.28.387-AR-(0-33-CR0103)-УСЦ-001.pdf;000048
№ГПЗ-ТMT-РХИ-4.1.1.22.383-АR-0-77-SR0105-С.Ф.-001;12.02.2021;;;;;"""Монтажная схема №ГПЗ-ТМТ-РХИ-4.1.1.22.383-АК-0-77-5В0105-СП.Ф.-001 от 12.02.2021г. @ """;;АОСР_KiladzeSV_013944.pdf;4.1.1.22.383-AR-0-77-SR0105-СП.Ф.-001.pdf;000050
;;;;;;;;АОСР_KiladzeSV_013945.pdf;4.1.1.22.383-AR-0-77-SR0105-СП.Ф.-001.pdf;000051
№ГПЗ-TТMT-РХИ-4.1.1.22.383-АR-0-77-SR0105-.Ж-001;12.02.2021;;;;;"""Монтажная схема №ГИЗ-ТМТ-РХИ-4. 1.1.22.383-АК-0-77-5В0105-СП. Кр.-001 от 12.02.2021 г. @ """;;АОСР_KiladzeSV_013953.pdf;4.1.1.22.383-AR-0-77-SR0105-СП.Ф.-001.pdf;000059
;;;;;;;;АОСР_KiladzeSV_013954.pdf;4.1.1.22.383-AR-0-77-SR0105-СП.Ф.-001.pdf;000060
№ГПЗ-TMT-РХИ-4.1.1.20.703-GP104-(0-71-SR0411Y-PК-003;30.01.2019;;;;;"""Исполнительная схема № ГПЗ-4.1.1.20.703-СР104.КР-0004-(0-71-580411)-ТМТ-РХИ-РК-003 от 30.01.2019; @ """;;АОСР_KiladzeSV_013961.pdf;4.1.1.20.703-GP104-(0-71-SR0411)-РК-003.pdf;000068
;;;;;;;;АОСР_KiladzeSV_013962.pdf;4.1.1.20.703-GP104-(0-71-SR0411)-РК-003.pdf;000069
№ГПЗ-TМТ-РХИ-4.1.1.14.159-АКЗ-Ст-3О1;45.08.2021;;;;;"""Протокол контроля качества подготовки поверхности к окраске №683 П-1 от 26.07.2021: №683/П-2 от 30.07.2021: оны бот просленних а прое токи обеокаьний, лобороотных и пных ннатний но ем ира окзы @ """;;АОСР_KiladzeSV_013964.pdf;4.1.1.14.159-АКЗ-Ст-30_1.pdf;000071
;;;;;;;;АОСР_KiladzeSV_013965.pdf;4.1.1.14.159-АКЗ-Ст-30_1.pdf;000072
;АОСР_KiladzeSV_013966.pdf;4.1.1.14.159-АКЗ-Ст-30_1.pdf;000073
№ГПЗ-TMT-РХИ-4.1.1.14.156-АКЗ-CС-111;21гуиоля2021;;;;;"""Протокол контроля качества подготовки поверхности к окраске №680/П-1 от 05.04.202) пезьныссчемы ичеркеки, Резльлты зкетерто обожловии,лаборпорныхи иных ненытаний вынознетных руб прове хвпроцеесе строительного контрол ‘Страница 1из 2 @ """;;АОСР_KiladzeSV_013970.pdf;4.1.1.14.156-АКЗ-Ст-11_1.pdf;000077
;;;;;;;;АОСР_KiladzeSV_013971.pdf;4.1.1.14.156-АКЗ-Ст-11_1.pdf;000078
№ГПЗ-TМT-РХИ-4.1.1.14.156-АКЗ-Ст-112;21.07.2021;;;;;"""Протокол контроля качества нанесения лакокрасочных материалов №680/1-1 от 05.04.2021; № .07. """" @ Протокол контроля качества панесения лакокрасочных материалов №680/Ф-1 от 06.04.2021; №680 4-2 от 21.07.2021 кения обезеложний, зыборторных и иных незытнний вывозиенних робот провзвиных пров стропезмюо нони розя) @ исполнительные семи и чериеки, Роз Страница 1из2 @ """;;АОСР_KiladzeSV_013972.pdf;4.1.1.14.156-АКЗ-Ст-11_1.pdf;000080
;;;;;;;;АОСР_KiladzeSV_013973.pdf;4.1.1.14.156-АКЗ-Ст-11_1.pdf;000081
;АОСР_KiladzeSV_013974.pdf;4.1.1.14.156-АКЗ-Ст-11_1.pdf;000082
№ГПЗ-ТMT-РХИ-4.1.1.14.155-ТИ-029;28.10.2021;;;;;н/п спозиитетьные схемы чертежи, результы зяхперт болело либорторных и иных ито зпоху прониих прриииюну;;АОСР_KiladzeSV_013980.pdf;4.1.1.14.155-ТИ-029.pdf;000088
;;;;;;;;АОСР_KiladzeSV_013981.pdf;4.1.1.14.155-ТИ-029.pdf;000089
№ГПЗ-TMT-РХИ-4.1.1.14.155-ТTИ-027;24.08.2021;;;;;т споет ое ертжя роли обод зоборзторнит и;;АОСР_KiladzeSV_013995.pdf;4.1.1.14.155-ТИ-027.pdf;000104
;;;;;;;;АОСР_KiladzeSV_013996.pdf;4.1.1.14.155-ТИ-027.pdf;000105
№ГПЗ-ТМТ-РХИ-4.1.1.14.155-ТИ-026;27.09.2021;;;;;н/п.;;АОСР_KiladzeSV_014000.pdf;4.1.1.14.155-ТИ-026.pdf;000110
;;;;;;;;АОСР_KiladzeSV_014001.pdf;4.1.1.14.155-ТИ-026.pdf;000111
№ГПЗ-ТМТ-РХИ-4.1.1.14.155-ТИ-021;31.03.2021;;;;;72;;АОСР_KiladzeSV_014010.pdf;4.1.1.14.155-ТИ-021.pdf;000120
;;;;;;;;АОСР_KiladzeSV_014011.pdf;4.1.1.14.155-ТИ-021.pdf;000121
№ГПЗ-ТМТ-РХИ-4.1.1.14.155-ТИ-018;31.03.2021;;;;;н/п.;;АОСР_KiladzeSV_014014.pdf;4.1.1.14.155-ТИ-018.pdf;000124
;;;;;;;;АОСР_KiladzeSV_014015.pdf;4.1.1.14.155-ТИ-018.pdf;000125
№ГПЗ-TMT-РХИ-4.1.1.14.136-ТИ-009;12.11.2021;;;;;н/п.;;АОСР_KiladzeSV_014022.pdf;4.1.1.14.136-ТИ-009.pdf;000132
;;;;;;;;АОСР_KiladzeSV_014023.pdf;4.1.1.14.136-ТИ-009.pdf;000133
№ГПЗ-TМT-РХИ-4.1.1.14.101-GT9-БЕТ-001.2;21.10.2020;;;;;"""Исполнительная схема ЛЫГПЗ-4.1.1.14.101-СТЭ.Р1-0003-ТМТ-РХИ-ДИ-004 от 21.10.2020 @ """;;АОСР_KiladzeSV_014026.pdf;4.1.1.14.101-GT9-БЕТ-001.2.pdf;000136
;;;;;;;;АОСР_KiladzeSV_014027.pdf;4.1.1.14.101-GT9-БЕТ-001.2.pdf;000137
№ГПЗ-TMT-РХИ-4.1.1.14.101-GТ8-CА00009-ГC-057;23.06.2021;;;;;"""Монтажная схема_№ ГПЗ-4.1.1.14.101-СТ8.Р1--0002-ТМТ-РХИ-ГС-057 от 23.06.2021г. ЖАН №18-ТКМ-4 @ учетный лист №41 от 31.08.2020 г. ыполненных работ, проведённых в процессе строительного контроля.) @ """;;АОСР_KiladzeSV_014030.pdf;4.1.1.14.101-GT8-CA00009-ГС-057.pdf;000140
;;;;;;;;АОСР_KiladzeSV_014031.pdf;4.1.1.14.101-GT8-CA00009-ГС-057.pdf;000141
№ГПЗ-TMT-РХИ-4.1.1.14.101-GT8-CА00009-ЩШО-053;02.07.2021;;;;;"""Исполнительная схема № ГПЗ-4.1.1.14.101-СТ8.Р1-0002-ТМТ-РХИ-ЩО-053 от 02.07.2022. @ Протокол испытаний №ПЩО702}3 от 02.07.2021 г. ЖАН №19-ТКМ-4 @ Учетный лист №64 от 21.10.2020 @ """;;АОСР_KiladzeSV_014033.pdf;4.1.1.14.101-GT8-CA00009-ГС-057.pdf;000143
;;;;;;;;АОСР_KiladzeSV_014034.pdf;4.1.1.14.101-GT8-CA00009-ГС-057.pdf;000144
№ГПЗ-TMT-РХИ-4.1.1.14.101-GР3-РК-510;16.11.2020;;;;;"""Исполнительная схема № ГПЗ-4.1.1.14.101-СРЗ.РТ-0004-ТМТ-РХИ-РК-510 от 16.11.2020г. @ """;;АОСР_KiladzeSV_014036.pdf;4.1.1.14.101-GP3-РК-510.pdf;000146
;;;;;;;;АОСР_KiladzeSV_014037.pdf;4.1.1.14.101-GP3-РК-510.pdf;000147
№ГПЗ-TMT-РХИ-4.1.1.14.101-GP3-ПO-002;02.05.2021;;;;;"""Исполнительная схема № ГПЗ-4.1.1.14.101-СРЗ.Р1--0002-ТМТ-РХИ-ПО-002 от 02.05.20212. @ Протокол испытаний ПГО502 от 02.05.20212., @ Протокол испытаний П0430/3 от 30.04.20212., @ """;;АОСР_KiladzeSV_014039.pdf;4.1.1.14.101-GP3-ПО-002.pdf;000149
;;;;;;;;АОСР_KiladzeSV_014040.pdf;4.1.1.14.101-GP3-ПО-002.pdf;000150
№ГПЗ-TMT-PХИ-4.1.1.14.101-GР3-ЩО-002;04.05.2021;;;;;"""Исполнительная схема № ГПЗ-4.1.1.14.101-СРЗ.Р1-0002-ТМТ-РХИ-ЩО-002 от 04.05.2021г. Ведомость №14.10МИСО-Пр2104/10-ШТАМП от 04.05.20212. Жан.№16-ТКМ @ Учетный лист №27 от 18.05.2020 @ """;;АОСР_KiladzeSV_014042.pdf;4.1.1.14.101-GP3-ПО-002.pdf;000152
;;;;;;;;АОСР_KiladzeSV_014043.pdf;4.1.1.14.101-GP3-ПО-002.pdf;000153
№ГПЗ-ТМТ-РХИ-4.1.1.12.168-NVК1-СА00201-ВГК-005;26.03.2021;;;;;н/п.;;АОСР_KiladzeSV_014045.pdf;4.1.1.12.168-NVK1-CA00201-ВГК-005.pdf;000155
;;;;;;;;АОСР_KiladzeSV_014046.pdf;4.1.1.12.168-NVK1-CA00201-ВГК-005.pdf;000156
№ГПЗ-TMT-РХИ-4.1.1.12.168-NVK2-CА02101-ВГ-003;06.09.2020;;;;;н/п.;;АОСР_KiladzeSV_014047.pdf;4.1.1.12.168-NVK1-CA00201-ВГК-005.pdf;000157
;;;;;;;;АОСР_KiladzeSV_014048.pdf;4.1.1.12.168-NVK1-CA00201-ВГК-005.pdf;000158
№ГПЗ-TMT-РХИ-4.1.1.12.168-NVKКЗ-CА00201-BГК-002;02.10.2020;;;;;н/п.;;АОСР_KiladzeSV_014049.pdf;4.1.1.12.168-NVK1-CA00201-ВГК-005.pdf;000159
;;;;;;;;АОСР_KiladzeSV_014050.pdf;4.1.1.12.168-NVK1-CA00201-ВГК-005.pdf;000160
№ГПЗ-ТMT-РХИ-4.1.1.12.168-NVK3-СА00201-ВBГ-003;02.10.2020;;;;;н/п 5. Даты:;;АОСР_KiladzeSV_014051.pdf;4.1.1.12.168-NVK1-CA00201-ВГК-005.pdf;000161
;;;;;;;;АОСР_KiladzeSV_014052.pdf;4.1.1.12.168-NVK1-CA00201-ВГК-005.pdf;000162
№ГПЗ-TMT-РХИ-4.1.1.12.168-NVК4-СА02101-ВГК-001;25.08.2020;;;;;нп;;АОСР_KiladzeSV_014053.pdf;4.1.1.12.168-NVK1-CA00201-ВГК-005.pdf;000163
;;;;;;;;АОСР_KiladzeSV_014054.pdf;4.1.1.12.168-NVK1-CA00201-ВГК-005.pdf;000164
№ГПЗ-TMT-РХИ-4.1.1.12.168-NVK4-А02101-BГ-002;26.11.2020;;;;;н/п;;АОСР_KiladzeSV_014055.pdf;4.1.1.12.168-NVK1-CA00201-ВГК-005.pdf;000165
;;;;;;;;АОСР_KiladzeSV_014056.pdf;4.1.1.12.168-NVK1-CA00201-ВГК-005.pdf;000166
№ГПЗ-TМT-РХИ-4.1.1.12.168-NVK4-СА02101-ВГ-004;26.11.2020;;;;;н/п;;АОСР_KiladzeSV_014057.pdf;4.1.1.12.168-NVK1-CA00201-ВГК-005.pdf;000167
;;;;;;;;АОСР_KiladzeSV_014058.pdf;4.1.1.12.168-NVK1-CA00201-ВГК-005.pdf;000168
№ГПЗ-ТMT-РХИ-4.1.1.12.168-NVК4-CА02101-ВГК-005;25.08.2020;;;;;нп;;АОСР_KiladzeSV_014059.pdf;4.1.1.12.168-NVK1-CA00201-ВГК-005.pdf;000169
;;;;;;;;АОСР_KiladzeSV_014060.pdf;4.1.1.12.168-NVK1-CA00201-ВГК-005.pdf;000170
№ГПЗ-ТMТ-РХИ-4.1.1.12.168-NVK4-СА02101-ВГК-006;25.08.2020;;;;;;;АОСР_KiladzeSV_014061.pdf;4.1.1.12.168-NVK1-CA00201-ВГК-005.pdf;000171
;;;;;;;;АОСР_KiladzeSV_014062.pdf;4.1.1.12.168-NVK1-CA00201-ВГК-005.pdf;000172
№ГПЗ-ТМT-РХИ-3.1.1.03.105-NVК8-СА07103-О3К-009;18.04.2021;;;;;"""Исполнительная схема № ГПЗ-3.1.1.03.105-МУК8.Р1.--0002-ТМТ-РХИ-ОЗ-014 от 18.04.2021. @ Исполнительная схема № ГПЗ-3.1.1.03.105-МУК8.Р1-0002-ТМТ-РХИ-ОЗ-028 от 18.04.20212., „ @ Акт пробного уплотнения грунта № 14.165/ИСО-ПГ-Пр1925/13-ПУ от 25.03.20212., @ Протокол испытаний № 03.105/ИСО-ПБ-Пр2009/14-1ФМ от 09.04.2021. ‚ @ Протокол испытаний № 03.105/ИСО-ПБ-Пр2018/19-2КУ от 18.04.20212., ЖАН №2-ТКМ, @ учетный лист №5 от 04.07.2019г. @ """;;АОСР_KiladzeSV_014063.pdf;3.1.1.03.105-NVK8-CA07103-ОЗК-009.pdf;000173
;;;;;;;;АОСР_KiladzeSV_014064.pdf;3.1.1.03.105-NVK8-CA07103-ОЗК-009.pdf;000174
№ГПЗ-TМT-РХИ-3.1.1.02.101-GТ1-CА00008-ПО-001;05.09.2020;;;;;"""Исполнительная схема № ГПЗ-3.1.1.02.101-СТ1.Р1.0002-ТМТ-РХИ-ПО-501 от 05.09.2020 г. @ Протокол испытаний 02.10 /ИСО-ПГ-Пр!1305/21-1ФМ от 05.09.2020 г. @ Протокол испытаний 02.101/ИСО-ПГ-Пр1305/21-2КУ от 05.09.2020 г. ЖАН 6-ТКМ-3.1 @ учетный лист №55. @ """;;АОСР_KiladzeSV_014066.pdf;3.1.1.02.101-GT1-CA00008-ПО-001.pdf;000177
;;;;;;;;АОСР_KiladzeSV_014067.pdf;3.1.1.02.101-GT1-CA00008-ПО-001.pdf;000178
№ГПЗ-TМТ-РХИ-3.1.1.02.101-GT1-СА00008-ГС-001;21.09.2020;;;;;"""учетный лист № 56 от 31.08.2020 г. @ Монтажная схема № ГПЗ-3.1.1.02.101-СТ1.РЕ.0002-ТМТ-РХИ-ГС-001 от 21.09.2020 г. @ """;;АОСР_KiladzeSV_014069.pdf;3.1.1.02.101-GT1-CA00008-ПО-001.pdf;000180
;;;;;;;;АОСР_KiladzeSV_014070.pdf;3.1.1.02.101-GT1-CA00008-ПО-001.pdf;000181
№ГПЗ-ТМТ-РХИ-3.1.1.02.101-GТ-СА00008-ЩО-001;28.09.2020;;;;;"""Исполнительная схема № ГПЗ-3.1.1.02.101-СТ1.РЕ.0002-ТМТ-РХИ-ЩПП-001 от 28.09.2020. @ Исполнительная схема № ГПЗ-3.1.1.02.101-СТ1.РЕ.0002-ТМТ-РХИ-ЩПП-002 от 28.09.2020. @ Исполнительная схема № ГПЗ-3.1.1.02.101-СТ1.РГО002-ТМТ-РХИ-ЩИП-003 от 28.09.20202. ЖАН №5, @ учетный лист №74 запись от 28.09.2020. Ведомость №02.10МИСО-Пр1328/12-ШТАМП от 28.09.2020г. Ведомость №02.10ИИСО-Пр1328/11-ШТАМП от 28.09.2020г. Ведомость №02.10/ИСО-Пр1328/10-ШТАМП от 28.09.2020г. @ """;;АОСР_KiladzeSV_014072.pdf;3.1.1.02.101-GT1-CA00008-ПО-001.pdf;000183
;;;;;;;;АОСР_KiladzeSV_014073.pdf;3.1.1.02.101-GT1-CA00008-ПО-001.pdf;000184
№ГПЗ-ТМТ-РХИ-3.1.1.02.101-GТ1-СА00008-ГТ-001;30.09.2020;;;;;"""Монтажная схема Л ГИЗ-3.1.1.02.101-СТ1.РЕ0002-ТМТ-РХИ-ГТ-001 от 30.09.20202. @ """;;АОСР_KiladzeSV_014077.pdf;3.1.1.02.101-GT1-CA00008-ПО-001.pdf;000188
;;;;;;;;АОСР_KiladzeSV_014078.pdf;3.1.1.02.101-GT1-CA00008-ПО-001.pdf;000189
№ГПЗ-TМT-РХИ-3.1.1.02.101-GТ1-C00008-БК-002;21.10.2020;;;;;"""Монтажная схема № ГПЗ-3.1.1.02.101-СТ1.Р1--0002-ТМТ-РХИ-БК-002 от 21.10.2020г. @ Протокол испытаний №634-1 от 21.10.2020 г. @ """;;АОСР_KiladzeSV_014082.pdf;3.1.1.02.101-GT1-CA00008-ПО-001.pdf;000193
;;;;;;;;АОСР_KiladzeSV_014083.pdf;3.1.1.02.101-GT1-CA00008-ПО-001.pdf;000194
